keyword,title,price,link,date
laptop,"Dell Latitude 14"" FHD Laptop Core i5 4.2GHz 16GB RAM 512GB SSD Windows 11 Pro",279.56,https://www.ebay.com/itm/256496543516?_skw=laptop&itmmeta=01K343WNWSWWCADFSD0PTM6DHS&hash=item3bb862a71c:g:A-kAAeSwQBVoiCW1&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fIXUYrC%2BnYY8VjuZu8mfrfj84frvEdj0KmFyKxoCEmCkgLxYUJn6%2BAVpb1GZRWUUdPgdoRh5PGqjHu9ltW6iJ1hZQPvYnZ9sxMVtDKiXqdHxXmgYWTKByomYblVHbJGehyw2IBitALZiFUjQTQdIHCH%2FcahZawmMWHvLF2ac3WRjv7MgnvgNQ7ZY1EkiMr3qLeAPS4OJPoS%2F9jCugb8TAsM2dc6LF%2BWwodDoKdFErnKH3JTBo9RxP6OBzV7PROak3XcDO46wTbu4nYukGzDf3U%7Ctkp%3ABFBMqt_yg5lm,25/08/20_21:39:46
laptop,"Dell Latitude 7480 Laptop PC 14"" Intel Core i5 16GB RAM 256GB SSD Windows 10",179.89,https://www.ebay.com/itm/254654754368?_skw=laptop&itmmeta=01K343WNWSZ3WSKQFW4R2XEJDA&hash=item3b4a9b2e40:g:gs8AAeSwRPBoo9SF&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1egHleKGDsV3nzfHM97y%2FvDdQ68da%2FiNznboHrh0rlpLWtR2tlw8usIlmipvhuAsMi6ML8cZWhcFUKgmv7Bzf5TdUQQvL%2Bhz%2FCH%2FVue9DZp1XI6HAB8v%2BYA396G2kZMqrx7OhTNcA7iE0xG8VQiHDVSUap1IYCFIq5w8TKABjVmPbkfsKrph9U3vE7GgrL%2BJlG%2BCOOOwljarDE5jJJwGI131XXlog8yZ7jeNZJ0yn9M1fkPmIZfODNJiaAAHQ8g3uVoneoNCEiFyYODH8GNjJGQ%7Ctkp%3ABFBMqt_yg5lm,25/08/20_21:39:46
laptop,HP EliteBook 845 G8 Laptop 14” AMD Ryzen 5 PRO 5650U 16GB RAM 256GB SSD Win 11,284.99,https://www.ebay.com/itm/267259406872?_skw=laptop&itmmeta=01K343WNWS9EA365A6BMW39D6G&hash=item3e39e6ea18:g:u1cAAeSwK1pokrWA&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dPzNc9RRvwLgbSR7Pbmo2zDCtq5NqPemqhRewg6ezzWzMnH6IOl5bRlBFkjPHqSmB6R0CAu06vgmo2c0wc2%2Fh5VB4eMlpcWpop93zq8bF2aqvsQszIL2jMvTTG558J2noozBpNC88l1J7yZb0xjOSNyzn7wuBjvso9NeUEThhIz9lcmJTW73KchNdP2MNvh1QDjM1TkTGPa3W5FrjwQPfiWUK6kY4yeAVcV0MP9hW3DjNHH5skte9llhKgXRbgLcen1Z8WFSdsw5E7TNfVMscd%7Ctkp%3ABFBMqt_yg5lm,25/08/20_21:39:46
laptop,HP EliteBook 14” FHD AMD Ryzen 5 PRO Laptop PC Up To 32GB RAM 1TB SSD Windows 11,309.76,https://www.ebay.com/itm/256879744174?_skw=laptop&itmmeta=01K343WNWSHWKTQPH7YZ5CGZB8&hash=item3bcf39d4ae:g:-UoAAeSw76xokNBn&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dGA73Dtv1sNInk5q6VUhyI1M66l9akOqty16F86VHvtKnbRns0DwuckSMrvIJGdGGgpBpTU0Hrm1T8JpZVOikMKFaT%2F3ISCUC93vWo5aOpEO32VcQJahH0ia5NUA6i68E5D4ZR0RwQTaUQMDVt3byDjmWBC%2BCgd0deAvu8BOxppq%2BtPHqcxcomRDMKIFmR%2BG5LmvdJOuDkBTdQdeqmNF3LG9NJCVEpsuNnhw7J5WqcVOlXvtOEpFC3%2F130nzticH6Cr8V%2Bhz7f67na%2BP9Ommiz%7Ctkp%3ABFBMqt_yg5lm,25/08/20_21:39:46
laptop,"~OVERSTOCK SALE~ 14"" HD Lenovo ThinkPad Laptop: Intel i5! 16GB RAM~512GB SSD!",159.95,https://www.ebay.com/itm/116289085429?_skw=laptop&itmmeta=01K343WNWSDRB4FH9C4224W9X5&hash=item1b135e9ff5:g:KFwAAOSwzUpoB5v2&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c9q%2Bg2PwmhUC19abllZbpgmSkZZqPLwO%2B0hzMdOXwdbeAEH2z%2FBmi2LuIrEFxiDFsa74eintQXV54Dj1wI7EVirPOW2Zkc9CPP%2BgpQX5Zr7BACT%2BkqtqnYDYBVbjiJNa9%2BdnCtqPUE8c1Fwq0Hg3HQ6Rxm6h0lgjItKo%2FEA6LlrXSlujnHGELdbJ4nv%2BWgbrKqjyBFFbpqmosEDxf0%2FkE%2FTSE6y6HYe3xwRoqNWMV%2Fysrj4Q4HDjg2q%2FL6swYC1k99%2BqS5sUKUfZEjLL8xGcpc%7Ctkp%3ABFBMqt_yg5lm,25/08/20_21:39:46
laptop,"12"" Microsoft SurfacePro Laptop/Tablet: Intel i5! 4GB RAM! 128GB SSD! Windows 10",139.95,https://www.ebay.com/itm/116344905846?_skw=laptop&itmmeta=01K343WNWSJQB31YPPWS5X8S58&hash=item1b16b26076:g:4SUAAeSwjuVolfSJ&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ez%2FiERDxBPrsimrmcmVS9jSkq6V%2Fjm2vekPsq7VSuB1Ec1Q0mXZ3Y4Horfk14O6q%2B0S3IoZY2jgnhwc6mWliQv3L289X4AB6BlvpOxuKvN0MMT34P%2F7%2BOuW98ICcJpLTXeKkFmGnbvcG6NyeYATUfY49b7gko806GImwGjBDK%2FWkkUf4iW8vLGP9qOMw2nNxe%2BBiycgHTv%2FiG7nARXlJvcu2B06svZ3aL98iOCMmQDTZPwfQ5eewQ%2BzkE6%2FkTwJ2F9ulytbHURQ5X4kz7Y7Y4i%7Ctkp%3ABFBMqt_yg5lm,25/08/20_21:39:46
laptop,"Lenovo ThinkPad L490 14"" 256GB SSD, 16GB, Intel Core i5 8th Gen Windows 11",199.99,https://www.ebay.com/itm/256965505350?_skw=laptop&itmmeta=01K343WNWSKRN1ZAFCTQSGTTRH&hash=item3bd4567146:g:5fQAAeSwZptoCA8L&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eoyghziJOnxBpGM7CjDLxRiC1SuFQzX5gs2vUOfm7c%2BKGCBgYtURnERJOmzrOgMPfmeSLn%2FlMXIE1WNfcKcQwtnSOWIurDmDvYwuaV7JpItAf58IoAIpIyLv%2BUONSp6HxXYLZXnmBpC7M4YXw%2FTkgAhAZBwKBC%2FcrAmgkbkL1YepOmsB0HGRMLKQvEl9qKA89%2FpDjzwvizF7TP4I7CgkgwbeX3vdnIhKjiIckN9cKMxrwC7h93wgnlB0AgEJ%2BMG3pV6xLhQd%2BRSWw27DuEsU16%7Ctkp%3ABFBMqt_yg5lm,25/08/20_21:39:46
laptop,Panasonic Let's Note SZ6 CF-SZ6 i5-7300U 8GB RAM 256GB SSD Laptop touch w/ AC,114.99,https://www.ebay.com/itm/375836910296?_skw=laptop&itmmeta=01K343WNWS17PEHR83HG4C0XQV&hash=item5781a022d8:g:MrkAAOSw2eNnTlIE&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f74o6%2Fl0k5yToV93qYzPChnoEtEDqKX1lTpKuqsscyqHLPqFUcDFr3cv0YAt2252Qai9xM7B4xbjT%2By6c6ngYiA5%2FBQQ3sHZdUZUKe0hqHjnP5IapdycZr2%2BIsgKeTHrze%2FannVWJuWoh3zr4b5B1FPnfy1pasPBXRKCgy2nl158JvQv6bCeIQ8EYAc9ZYRxzJztQL%2Fwy3ZiB45BMMJqcpyGzHqWVip%2FW9wtDJsHol%2BFr9emsfVcTjmcqpR10%2FZfSZS3YoQKsw1ngrQ%2B8mCN9f%7Ctkp%3ABFBMqt_yg5lm,25/08/20_21:39:46
iphone,Google Pixel 7a | 7 | 7 Pro - 128GB 256GB 512GB - Unlocked - Smartphone,214.95,https://www.ebay.com/itm/186577116952?_skw=iphone&itmmeta=01K343WRB1V3RB3R1VCHE37QAN&hash=item2b70dcdf18:g:SMoAAOSw9NZmmrFS&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dj38AA8Ry6J0%2Foj8aSnsq7C3oGLGR3GuSWtqVv1JAVumFNzhd0rfQmmC72%2FOSQ6GuHzsgMbzR5S%2F01LbbHiekHem%2BnNDgfVk1Ugs78bt2NWzlcywzC%2FMSEaCfZ2usZCE2GHZNpk%2F8avk%2B6f3Po%2FKV8KGMrTxf7XdwQQyx4ajHPAw4RvA454N1DKsvgpeTAZE3nrXWo4WlaQJGCSzBcd6lW5C1Jifrtp4%2BZao%2BT0VWnj8Hs%2FZo%2Fu0JnkFi%2FZJTmWcPNCjirN02GCr7zj%2F9MCwVl%7Ctkp%3ABFBM4oXzg5lm,25/08/20_21:39:49
iphone,FOR SPECTRUM Motorola Razr+ Plus 40 Ultra XT2321 256GB Infinite Black - Good,137.99,https://www.ebay.com/itm/404911877165?_skw=iphone&itmmeta=01K343WRB16X9X9QV0G1H5F2G2&hash=item5e46a0ec2d:g:GTYAAOSwgX1lePrK&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1edUMcoivOsQHj%2BJooiU10%2BNRsXUvWuwhFxBW1FvlUrXoWKfLt7zazwI7YgjIxmAT8NTp0uXn%2BL4LmH%2FgMVipGKrHozqSMkzxoN5Ki%2FeMSQTgZ3esGj62bT6vmsWxEc57P0VSCB7bQQ1QOyEMkCpZHrkqsX0o%2BuB8IzpTku78KBVAX%2BV3KmBGUSDtCYIDJXiXr%2FKl3nCVJzQZeQvP51ArT0XcD%2FS2bhVajEncdppxNlAmMM59hRyw1%2FwCgWgh2m%2FJG%2F%2BnQd9KJY%2BIW4aWSRLzhf%7Ctkp%3ABFBM4oXzg5lm,25/08/20_21:39:49
